vehiculo,bloque_coste,categoria_coste,dimension_coste,partida,unidad,year,valor,valor_eur,unidad_estandarizada
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2017,"0,0137",0.0137,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2018,"0,0139",0.0139,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2019,"0,0141",0.0141,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2020,"0,0144",0.0144,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2021,"0,0147",0.0147,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2022,"0,0152",0.0152,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2023,"0,0162",0.0162,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,consumo de disolución de urea,eur/vehículo-km,2024,"0,0169",0.0169,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2017,"0,0450",0.045,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2018,"0,0451",0.0451,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2019,"0,0449",0.0449,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2020,"0,0455",0.0455,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2021,"0,0464",0.0464,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2022,"0,0506",0.0506,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2023,"0,0556",0.0556,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,neumáticos,eur/vehículo-km,2024,"0,0572",0.0572,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2017,"0,0149",0.0149,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2018,"0,0152",0.0152,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2019,"0,0154",0.0154,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2020,"0,0157",0.0157,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2021,"0,0160",0.016,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2022,"0,0166",0.0166,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2023,"0,0177",0.0177,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,mantenimiento,eur/vehículo-km,2024,"0,0184",0.0184,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2017,"0,0293",0.0293,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2018,"0,0299",0.0299,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2019,"0,0304",0.0304,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2020,"0,0308",0.0308,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2021,"0,0315",0.0315,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2022,"0,0327",0.0327,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2023,"0,0348",0.0348,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,reparaciones,eur/vehículo-km,2024,"0,0363",0.0363,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2017,"0,1150",0.115,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2018,"0,1172",0.1172,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2019,"0,1191",0.1191,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2020,"0,1207",0.1207,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2021,"0,1230",0.123,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2022,"0,1247",0.1247,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2023,"0,1292",0.1292,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,dietas,eur/vehículo-km,2024,"0,1361",0.1361,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2017,"0,0157",0.0157,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2018,"0,0160",0.016,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2019,"0,0163",0.0163,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2020,"0,0163",0.0163,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2021,"0,0164",0.0164,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2022,"0,0174",0.0174,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2023,"0,0185",0.0185,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes directos,costes kilométricos,peajes,eur/vehículo-km,2024,"0,0190",0.019,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes indirectos,nan,nan,eur/vehículo-km,2017,"0,0634",0.0634,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes indirectos,nan,nan,eur/vehículo-km,2018,"0,0660",0.066,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes indirectos,nan,nan,eur/vehículo-km,2019,"0,0663",0.0663,eur/vehículo-km
vehículo articulado de carga general,costes unitarios,costes indirectos,nan,nan,eur/vehículo-km,2020,"0,0645",0.0645,eur/vehículo-km
