year,ccaa,tipo,subtipo,mercancia,ton-km
2017,castilla - la mancha,transporte internacional,recibido,productos alimenticios y forrajes,339190000.0
2017,castilla - la mancha,transporte internacional,recibido,productos metalúrgicos,27860000.0
2017,castilla - la mancha,transporte internacional,recibido,abonos,21390000.0
2017,castilla - la mancha,transporte internacional,recibido,productos químicos,175270000.0
2017,castilla - la mancha,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",825890000.0
2017,castilla y león,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,5740000.0
2017,castilla y león,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,15240000.0
2017,castilla y león,transporte intrarregional,intramunicipal,combustibles minerales sólidos,710000.0
2017,castilla y león,transporte intrarregional,intramunicipal,productos petrolíferos,3470000.0
2017,castilla y león,transporte intrarregional,intramunicipal,minerales y residuos para refundición,270000.0
2017,castilla y león,transporte intrarregional,intramunicipal,productos metalúrgicos,3070000.0
2017,castilla y león,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,48790000.0
2017,castilla y león,transporte intrarregional,intramunicipal,abonos,870000.0
2017,castilla y león,transporte intrarregional,intramunicipal,productos químicos,1170000.0
2017,castilla y león,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",36810000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,945300000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,1071310000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,11830000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,149640000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,19500000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,56570000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,925790000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,abonos,79660000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,productos químicos,43610000.0
2017,castilla y león,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",473140000.0
2017,castilla y león,transporte interregional,expedido,productos agrícolas y animales vivos,1548240000.0
2017,castilla y león,transporte interregional,expedido,productos alimenticios y forrajes,3292610000.0
2017,castilla y león,transporte interregional,expedido,combustibles minerales sólidos,39150000.0
2017,castilla y león,transporte interregional,expedido,productos petrolíferos,62410000.0
2017,castilla y león,transporte interregional,expedido,minerales y residuos para refundición,203990000.0
2017,castilla y león,transporte interregional,expedido,productos metalúrgicos,365550000.0
2017,castilla y león,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,1715340000.0
2017,castilla y león,transporte interregional,expedido,abonos,92760000.0
2017,castilla y león,transporte interregional,expedido,productos químicos,377150000.0
2017,castilla y león,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",3039200000.0
2017,castilla y león,transporte interregional,recibido,productos agrícolas y animales vivos,1394300000.0
2017,castilla y león,transporte interregional,recibido,productos alimenticios y forrajes,2444380000.0
2017,castilla y león,transporte interregional,recibido,combustibles minerales sólidos,179480000.0
2017,castilla y león,transporte interregional,recibido,productos petrolíferos,272110000.0
2017,castilla y león,transporte interregional,recibido,minerales y residuos para refundición,66220000.0
2017,castilla y león,transporte interregional,recibido,productos metalúrgicos,598800000.0
2017,castilla y león,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,748140000.0
2017,castilla y león,transporte interregional,recibido,abonos,369690000.0
2017,castilla y león,transporte interregional,recibido,productos químicos,451270000.0
2017,castilla y león,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",2660460000.0
2017,castilla y león,transporte internacional,expedido,productos agrícolas y animales vivos,122010000.0
2017,castilla y león,transporte internacional,expedido,productos alimenticios y forrajes,511690000.0
