year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,"asturias, principado de",transporte interregional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,271.4
2017,"asturias, principado de",transporte interregional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,632.08
2017,"asturias, principado de",transporte interregional,expedido,combustibles minerales sólidos,millones de toneladas-kilómetro,264.21
2017,"asturias, principado de",transporte interregional,expedido,productos petrolíferos,millones de toneladas-kilómetro,53.2
2017,"asturias, principado de",transporte interregional,expedido,minerales y residuos para refundición,millones de toneladas-kilómetro,78.18
2017,"asturias, principado de",transporte interregional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,601.41
2017,"asturias, principado de",transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,107.74
2017,"asturias, principado de",transporte interregional,expedido,abonos,millones de toneladas-kilómetro,134.76
2017,"asturias, principado de",transporte interregional,expedido,productos químicos,millones de toneladas-kilómetro,322.75
2017,"asturias, principado de",transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,418.63
2017,"asturias, principado de",transporte interregional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,333.19
2017,"asturias, principado de",transporte interregional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,648.12
2017,"asturias, principado de",transporte interregional,recibido,combustibles minerales sólidos,millones de toneladas-kilómetro,57.23
2017,"asturias, principado de",transporte interregional,recibido,productos petrolíferos,millones de toneladas-kilómetro,87.75
2017,"asturias, principado de",transporte interregional,recibido,minerales y residuos para refundición,millones de toneladas-kilómetro,79.17
2017,"asturias, principado de",transporte interregional,recibido,productos metalúrgicos,millones de toneladas-kilómetro,216.39
2017,"asturias, principado de",transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,307.33
2017,"asturias, principado de",transporte interregional,recibido,abonos,millones de toneladas-kilómetro,8.0
2017,"asturias, principado de",transporte interregional,recibido,productos químicos,millones de toneladas-kilómetro,148.46
2017,"asturias, principado de",transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,603.88
2017,"asturias, principado de",transporte internacional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,42.29
2017,"asturias, principado de",transporte internacional,expedido,combustibles minerales sólidos,millones de toneladas-kilómetro,55.68
2017,"asturias, principado de",transporte internacional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,259.17
2017,"asturias, principado de",transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,6.1
2017,"asturias, principado de",transporte internacional,expedido,abonos,millones de toneladas-kilómetro,7.91
