Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,Castilla - La Mancha,Interregional,Expedido,Productos Petrolíferos,361.6,1689.66
2017,Castilla - La Mancha,Interregional,Expedido,Minerales Y Residuos Para Refundición,116.72,455.56
2017,Castilla - La Mancha,Interregional,Expedido,Productos Metalúrgicos,93.07,327.08
2017,Castilla - La Mancha,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1360.35,8917.29
2017,Castilla - La Mancha,Interregional,Expedido,Abonos,269.64,1013.06
2017,Castilla - La Mancha,Interregional,Expedido,Productos Químicos,498.04,1636.68
2017,Castilla - La Mancha,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2416.74,8397.76
2017,Castilla - La Mancha,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1099.64,3796.9
2017,Castilla - La Mancha,Interregional,Recibido,Productos Alimenticios Y Forrajes,2698.82,9584.88
2017,Castilla - La Mancha,Interregional,Recibido,Combustibles Minerales Sólidos,26.16,113.89
2017,Castilla - La Mancha,Interregional,Recibido,Productos Petrolíferos,235.07,1076.13
2017,Castilla - La Mancha,Interregional,Recibido,Minerales Y Residuos Para Refundición,40.6,137.72
2017,Castilla - La Mancha,Interregional,Recibido,Productos Metalúrgicos,384.51,990.92
2017,Castilla - La Mancha,Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,816.94,4588.58
2017,Castilla - La Mancha,Interregional,Recibido,Abonos,355.23,1353.31
2017,Castilla - La Mancha,Interregional,Recibido,Productos Químicos,565.12,1471.38
2017,Castilla - La Mancha,Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2356.46,8811.89
2017,Castilla - La Mancha,Internacional,Expedido,Productos Agrícolas Y Animales Vivos,171.58,103.28
2017,Castilla - La Mancha,Internacional,Expedido,Productos Alimenticios Y Forrajes,661.13,604.86
2017,Castilla - La Mancha,Internacional,Expedido,Productos Petrolíferos,57.71,59.94
2017,Castilla - La Mancha,Internacional,Expedido,Productos Metalúrgicos,141.82,104.04
2017,Castilla - La Mancha,Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,12.05,9.52
2017,Castilla - La Mancha,Internacional,Expedido,Abonos,60.55,42.99
2017,Castilla - La Mancha,Internacional,Expedido,Productos Químicos,37.37,38.46
