Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1811,27160.35
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1836,27533.16
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.187,28048.9
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1897,28452.19
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.1965,29477.71
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Dietas,0.207,31046.14
2017,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1012,15175.37
2018,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.103,15445.05
2019,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1048,15713.88
2020,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1046,15694.21
2021,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1054,15810.46
2022,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1116,16742.32
2023,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1186,17796.9
2024,Articulado De Carga General En Transporte Internacional,Costes Directos,Por Km Recorridos(Vehículo-Km),Peajes,0.1223,18342.19
2017,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0721,10819.9
2018,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0756,11339.54
2019,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0762,11424.56
2020,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0741,11119.89
2021,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0775,11628.73
2022,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0887,13307.76
2023,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0897,13458.7
2024,Articulado De Carga General En Transporte Internacional,Costes Indirectos,Indirectos(Vehículo-Km),Indirectos,0.0908,13615.9
2017,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1034,12404.21
2018,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1045,12542.17
2019,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1054,12653.97
2020,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1064,12764.72
2021,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1074,12893.4
2022,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1109,13311.17
2023,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1149,13782.51
2024,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1175,14101.48
2017,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0157,1887.9
2018,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0143,1716.96
2019,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.015,1802.89
2020,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0141,1696.96
2021,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0146,1756.48
2022,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.018,2156.23
2023,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.03,3601.5
2024,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0308,3700.16
2017,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.242,29034.38
2018,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2466,29592.97
2019,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2504,30051.09
2020,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2539,30464.97
2021,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2586,31034.57
2022,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2623,31481.03
2023,Tren De Carretera,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.2718,32615.33
