area,pais,desplazamiento,año,ton-km(millones),toneladas(miles)
UE-27,Luxemburgo,Recibido,2019,114.0,88.0
UE-27,Luxemburgo,Recibido,2020,51.0,34.0
UE-27,Luxemburgo,Recibido,2021,71.0,47.0
UE-27,Luxemburgo,Recibido,2022,223.0,162.0
UE-27,Luxemburgo,Recibido,2023,169.0,123.0
UE-27,Luxemburgo,Recibido,2024,210.0,139.0
UE-27,Luxemburgo,Expedido,2017,148.0,120.0
UE-27,Luxemburgo,Expedido,2018,157.0,132.0
UE-27,Luxemburgo,Expedido,2019,78.0,70.0
UE-27,Luxemburgo,Expedido,2020,114.0,83.0
UE-27,Luxemburgo,Expedido,2021,129.0,96.0
UE-27,Luxemburgo,Expedido,2022,170.0,128.0
UE-27,Luxemburgo,Expedido,2023,97.0,71.0
UE-27,Luxemburgo,Expedido,2024,166.0,122.0
UE-27,Países Bajos,Recibido,2017,3913.0,2391.0
UE-27,Países Bajos,Recibido,2018,3375.0,2035.0
UE-27,Países Bajos,Recibido,2019,4038.0,2437.0
UE-27,Países Bajos,Recibido,2020,4419.0,2575.0
UE-27,Países Bajos,Recibido,2021,4610.0,2676.0
UE-27,Países Bajos,Recibido,2022,4475.0,2758.0
UE-27,Países Bajos,Recibido,2023,4623.0,2840.0
UE-27,Países Bajos,Recibido,2024,4831.0,2908.0
UE-27,Países Bajos,Expedido,2017,4249.0,2304.0
UE-27,Países Bajos,Expedido,2018,4358.0,2394.0
UE-27,Países Bajos,Expedido,2019,4432.0,2431.0
UE-27,Países Bajos,Expedido,2020,4478.0,2454.0
UE-27,Países Bajos,Expedido,2021,4604.0,2488.0
UE-27,Países Bajos,Expedido,2022,4503.0,2456.0
UE-27,Países Bajos,Expedido,2023,4061.0,2239.0
UE-27,Países Bajos,Expedido,2024,4810.0,2687.0
UE-27,Polonia,Recibido,2017,2500.0,1006.0
UE-27,Polonia,Recibido,2018,3570.0,1431.0
UE-27,Polonia,Recibido,2019,3370.0,1390.0
UE-27,Polonia,Recibido,2020,2138.0,939.0
UE-27,Polonia,Recibido,2021,3791.0,1533.0
UE-27,Polonia,Recibido,2022,3885.0,1671.0
UE-27,Polonia,Recibido,2023,3352.0,1409.0
UE-27,Polonia,Recibido,2024,2949.0,1222.0
UE-27,Polonia,Expedido,2017,3809.0,1475.0
UE-27,Polonia,Expedido,2018,4448.0,1686.0
UE-27,Polonia,Expedido,2019,5075.0,2018.0
UE-27,Polonia,Expedido,2020,3744.0,1460.0
UE-27,Polonia,Expedido,2021,5023.0,1972.0
UE-27,Polonia,Expedido,2022,4910.0,2001.0
UE-27,Polonia,Expedido,2023,5408.0,2183.0
UE-27,Polonia,Expedido,2024,5518.0,2234.0
UE-27,Portugal,Recibido,2017,4708.0,8853.0
UE-27,Portugal,Recibido,2018,5351.0,10251.0
UE-27,Portugal,Recibido,2019,5026.0,9548.0
UE-27,Portugal,Recibido,2020,4440.0,8687.0
UE-27,Portugal,Recibido,2021,5270.0,10015.0
UE-27,Portugal,Recibido,2022,5633.0,10717.0
UE-27,Portugal,Recibido,2023,5229.0,10431.0
UE-27,Portugal,Recibido,2024,5289.0,9922.0
UE-27,Portugal,Expedido,2017,6086.0,11869.0
UE-27,Portugal,Expedido,2018,6213.0,12486.0
UE-27,Portugal,Expedido,2019,6334.0,12400.0
UE-27,Portugal,Expedido,2020,5533.0,11664.0
UE-27,Portugal,Expedido,2021,6320.0,12486.0
UE-27,Portugal,Expedido,2022,6760.0,13291.0
UE-27,Portugal,Expedido,2023,6258.0,12270.0
UE-27,Portugal,Expedido,2024,6479.0,13625.0
UE-27,República Checa,Recibido,2017,556.0,276.0
UE-27,República Checa,Recibido,2018,915.0,445.0
UE-27,República Checa,Recibido,2019,802.0,376.0
UE-27,República Checa,Recibido,2020,1349.0,636.0
UE-27,República Checa,Recibido,2021,1231.0,551.0
UE-27,República Checa,Recibido,2022,1515.0,689.0
UE-27,República Checa,Recibido,2023,1301.0,616.0
UE-27,República Checa,Recibido,2024,1769.0,788.0
UE-27,República Checa,Expedido,2017,981.0,472.0
UE-27,República Checa,Expedido,2018,897.0,385.0
UE-27,República Checa,Expedido,2019,867.0,403.0
UE-27,República Checa,Expedido,2020,1414.0,658.0
UE-27,República Checa,Expedido,2021,1617.0,750.0
UE-27,República Checa,Expedido,2022,1990.0,922.0
UE-27,República Checa,Expedido,2023,2012.0,936.0
UE-27,República Checa,Expedido,2024,2085.0,955.0
UE-27,Rumanía,Recibido,2017,687.0,243.0
UE-27,Rumanía,Recibido,2018,927.0,349.0
UE-27,Rumanía,Recibido,2019,970.0,363.0
UE-27,Rumanía,Recibido,2020,882.0,325.0
UE-27,Rumanía,Recibido,2021,1010.0,370.0
UE-27,Rumanía,Recibido,2022,1188.0,462.0
UE-27,Rumanía,Recibido,2023,1437.0,543.0
UE-27,Rumanía,Recibido,2024,1364.0,507.0
UE-27,Rumanía,Expedido,2017,666.0,228.0
UE-27,Rumanía,Expedido,2018,926.0,341.0
UE-27,Rumanía,Expedido,2019,954.0,339.0
UE-27,Rumanía,Expedido,2020,941.0,347.0
UE-27,Rumanía,Expedido,2021,786.0,285.0
UE-27,Rumanía,Expedido,2022,1255.0,467.0
UE-27,Rumanía,Expedido,2023,1353.0,520.0
UE-27,Rumanía,Expedido,2024,1194.0,435.0
UE-27,Suecia,Recibido,2017,424.0,162.0
UE-27,Suecia,Recibido,2018,172.0,70.0
UE-27,Suecia,Recibido,2019,347.0,132.0
UE-27,Suecia,Recibido,2020,145.0,64.0
UE-27,Suecia,Recibido,2021,230.0,95.0
UE-27,Suecia,Recibido,2022,179.0,74.0
UE-27,Suecia,Recibido,2023,195.0,78.0
