año,comunidad_origen,comunidad_destino,valor
2018,"Rioja, La","Rioja, La",5707.56
2019,Andalucía,Andalucía,192155.19
2019,Andalucía,Aragón,672.74
2019,Andalucía,"Asturias, Principado de",77.54
2019,Andalucía,Cantabria,219.06
2019,Andalucía,Castilla - La Mancha,3405.35
2019,Andalucía,Castilla y León,1417.05
2019,Andalucía,Cataluña,2652.98
2019,Andalucía,Comunitat Valenciana,5211.98
2019,Andalucía,Extremadura,4580.12
2019,Andalucía,Galicia,487.53
2019,Andalucía,"Madrid, Comunidad de",3137.05
2019,Andalucía,"Murcia, Región de",3645.81
2019,Andalucía,"Navarra, Comunidad Foral de",376.58
2019,Andalucía,País Vasco,548.41
2019,Andalucía,"Rioja, La",141.94
2019,Aragón,Andalucía,764.03
2019,Aragón,Aragón,44863.46
2019,Aragón,"Asturias, Principado de",137.11
2019,Aragón,Cantabria,270.6
2019,Aragón,Castilla - La Mancha,1209.52
2019,Aragón,Castilla y León,1844.25
2019,Aragón,Cataluña,8438.85
2019,Aragón,Comunitat Valenciana,5059.24
2019,Aragón,Extremadura,74.93
2019,Aragón,Galicia,353.15
2019,Aragón,"Madrid, Comunidad de",2270.88
2019,Aragón,"Murcia, Región de",427.65
2019,Aragón,"Navarra, Comunidad Foral de",2374.33
2019,Aragón,País Vasco,1809.98
2019,Aragón,"Rioja, La",796.75
2019,"Asturias, Principado de",Andalucía,279.34
2019,"Asturias, Principado de",Aragón,301.38
2019,"Asturias, Principado de","Asturias, Principado de",28779.75
2019,"Asturias, Principado de",Cantabria,688.33
2019,"Asturias, Principado de",Castilla - La Mancha,313.24
2019,"Asturias, Principado de",Castilla y León,1396.94
2019,"Asturias, Principado de",Cataluña,344.07
2019,"Asturias, Principado de",Comunitat Valenciana,326.26
2019,"Asturias, Principado de",Extremadura,117.95
2019,"Asturias, Principado de",Galicia,2242.79
2019,"Asturias, Principado de","Madrid, Comunidad de",559.84
2019,"Asturias, Principado de","Murcia, Región de",107.44
2019,"Asturias, Principado de","Navarra, Comunidad Foral de",103.24
2019,"Asturias, Principado de",País Vasco,827.17
2019,"Asturias, Principado de","Rioja, La",63.23
2019,Cantabria,Andalucía,248.58
2019,Cantabria,Aragón,428.09
2019,Cantabria,"Asturias, Principado de",392.71
2019,Cantabria,Cantabria,20604.43
2019,Cantabria,Castilla - La Mancha,189.24
2019,Cantabria,Castilla y León,2102.0
2019,Cantabria,Cataluña,418.87
2019,Cantabria,Comunitat Valenciana,157.94
2019,Cantabria,Extremadura,36.24
2019,Cantabria,Galicia,247.33
2019,Cantabria,"Madrid, Comunidad de",589.54
2019,Cantabria,"Murcia, Región de",27.21
2019,Cantabria,"Navarra, Comunidad Foral de",178.05
2019,Cantabria,País Vasco,2946.63
2019,Cantabria,"Rioja, La",133.96
2019,Castilla - La Mancha,Andalucía,5153.23
2019,Castilla - La Mancha,Aragón,983.63
2019,Castilla - La Mancha,"Asturias, Principado de",318.06
2019,Castilla - La Mancha,Cantabria,259.96
2019,Castilla - La Mancha,Castilla - La Mancha,51029.77
2019,Castilla - La Mancha,Castilla y León,2854.03
2019,Castilla - La Mancha,Cataluña,2043.34
2019,Castilla - La Mancha,Comunitat Valenciana,8337.4
2019,Castilla - La Mancha,Extremadura,1426.91
2019,Castilla - La Mancha,Galicia,847.08
2019,Castilla - La Mancha,"Madrid, Comunidad de",16808.1
2019,Castilla - La Mancha,"Murcia, Región de",2488.83
2019,Castilla - La Mancha,"Navarra, Comunidad Foral de",505.09
2019,Castilla - La Mancha,País Vasco,950.54
2019,Castilla - La Mancha,"Rioja, La",139.68
2019,Castilla y León,Andalucía,1815.71
2019,Castilla y León,Aragón,2018.8
2019,Castilla y León,"Asturias, Principado de",1953.01
2019,Castilla y León,Cantabria,2970.36
2019,Castilla y León,Castilla - La Mancha,2983.99
2019,Castilla y León,Castilla y León,78626.28
2019,Castilla y León,Cataluña,2273.66
2019,Castilla y León,Comunitat Valenciana,2045.18
2019,Castilla y León,Extremadura,1230.58
2019,Castilla y León,Galicia,3493.38
2019,Castilla y León,"Madrid, Comunidad de",5619.49
2019,Castilla y León,"Murcia, Región de",376.97
2019,Castilla y León,"Navarra, Comunidad Foral de",1503.23
2019,Castilla y León,País Vasco,5561.66
2019,Castilla y León,"Rioja, La",534.94
2019,Cataluña,Andalucía,2712.81
2019,Cataluña,Aragón,10009.82
2019,Cataluña,"Asturias, Principado de",287.96
2019,Cataluña,Cantabria,348.62
2019,Cataluña,Castilla - La Mancha,1622.54
2019,Cataluña,Castilla y León,1940.17
2019,Cataluña,Cataluña,183521.45
2019,Cataluña,Comunitat Valenciana,8037.74
2019,Cataluña,Extremadura,361.16
2019,Cataluña,Galicia,814.67
2019,Cataluña,"Madrid, Comunidad de",3730.73
2019,Cataluña,"Murcia, Región de",1696.92
2019,Cataluña,"Navarra, Comunidad Foral de",1301.35
2019,Cataluña,País Vasco,2447.98
2019,Cataluña,"Rioja, La",433.59
2019,Comunitat Valenciana,Andalucía,4391.84
2019,Comunitat Valenciana,Aragón,3146.2
2019,Comunitat Valenciana,"Asturias, Principado de",175.36
2019,Comunitat Valenciana,Cantabria,201.97
2019,Comunitat Valenciana,Castilla - La Mancha,7160.73
2019,Comunitat Valenciana,Castilla y León,1690.04
2019,Comunitat Valenciana,Cataluña,7394.41
2019,Comunitat Valenciana,Comunitat Valenciana,153436.77
2019,Comunitat Valenciana,Extremadura,357.58
2019,Comunitat Valenciana,Galicia,551.3
2019,Comunitat Valenciana,"Madrid, Comunidad de",5308.68
2019,Comunitat Valenciana,"Murcia, Región de",7906.26
2019,Comunitat Valenciana,"Navarra, Comunidad Foral de",623.98
2019,Comunitat Valenciana,País Vasco,1314.47
2019,Comunitat Valenciana,"Rioja, La",181.84
